Date,DHT11#1 Humidity,DHT11#1 Temperature,DHT11#2 Humidity,DHT11#2 Temperature,DHT22#3 Humidity,DHT22#3 Temperature
2016-08-23T23:23:34.632-0600,20,21,17,21,45.2,24.5
2016-08-23T23:23:41.679-0600,ERROR,ERROR,17,21,45.3,24.5
2016-08-23T23:23:47.480-0600,20,21,17,21,45.2,24.5
2016-08-23T23:23:53.295-0600,20,21,17,21,45.2,24.5
2016-08-23T23:23:59.100-0600,20,21,17,21,44.5,24.5
2016-08-23T23:24:04.906-0600,20,21,17,21,45.2,24.5
2016-08-23T23:24:10.707-0600,20,21,17,21,45.2,24.4
2016-08-23T23:24:16.508-0600,20,21,17,21,45.4,24.5
2016-08-23T23:24:22.309-0600,20,21,17,21,45.3,24.5
2016-08-23T23:24:28.110-0600,20,21,17,21,45,24.5
2016-08-23T23:24:33.911-0600,20,21,17,21,45,24.5
2016-08-23T23:24:39.712-0600,20,21,17,21,44.9,24.5
2016-08-23T23:24:45.513-0600,20,21,17,21,44.9,24.5
2016-08-23T23:24:51.328-0600,20,21,17,21,45.1,24.5
2016-08-23T23:24:57.134-0600,20,21,17,21,45.3,24.5
2016-08-23T23:25:02.935-0600,20,21,17,21,45.6,24.5
2016-08-23T23:25:08.736-0600,20,21,17,21,45.4,24.5
2016-08-23T23:25:14.537-0600,20,21,17,21,45.3,24.5
2016-08-23T23:25:20.338-0600,20,21,17,21,45.2,24.5
2016-08-23T23:25:26.139-0600,20,21,17,21,45,24.5
2016-08-23T23:25:31.940-0600,20,21,17,21,44.9,24.5
2016-08-23T23:25:37.742-0600,20,21,17,21,44.7,24.5
2016-08-23T23:25:43.556-0600,20,21,17,21,44.6,24.5
2016-08-23T23:25:49.362-0600,20,21,17,21,43.9,24.5
2016-08-23T23:25:55.167-0600,20,21,17,21,45,24.6
2016-08-23T23:26:00.969-0600,20,21,17,21,44.6,24.5
2016-08-23T23:26:06.770-0600,20,21,17,21,44.6,24.6
2016-08-23T23:26:12.571-0600,20,21,17,21,44.7,24.6
2016-08-23T23:26:18.372-0600,20,21,17,21,45,24.6
2016-08-23T23:26:24.173-0600,20,21,17,21,45.1,24.6
2016-08-23T23:26:29.974-0600,20,21,17,21,44.9,24.5
2016-08-23T23:26:35.775-0600,20,21,17,21,45,24.6
2016-08-23T23:26:41.581-0600,20,21,17,21,45.1,24.6
2016-08-23T23:26:47.386-0600,20,21,17,21,45.1,24.6
2016-08-23T23:26:53.187-0600,20,21,17,21,45,24.6
2016-08-23T23:26:58.988-0600,20,21,17,21,44.9,24.6
2016-08-23T23:27:04.790-0600,20,21,17,21,44.6,24.5
2016-08-23T23:27:10.591-0600,20,21,17,21,44.6,24.6
